"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@davidcash888","DavidCash.eth ᵍᵐ","Hosted another Panel Live in the @BosonProtocol events space in @decentraland featuring @Musingmutley @THEALEXBOX @TheMarjan and @GaryJamesMcQuee discussing ""Body Architecture"" https://t.co/Oc67gvvNgx","1","7","42","1648409177000","27 Mar 2022","davidcash888/status/1508163516179656717","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@immersiongate","Immersion Gate","The First-of-Its-Kind Metaverse Fashion Week Was Held in March: Here Are 5 Major Takeaways https://t.co/P66vqz57cp #metaverse","0","0","0","1650376134000","19 Apr 2022","immersiongate/status/1516413531884859405","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","metaverse"
"@zuzia98974","Zuzia","#MVFW #dzzit https://t.co/SYTxlvNwvP","0","0","0","1649244070000","06 Apr 2022","zuzia98974/status/1511665314135965699","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | dzzit"
"@cryptomerch","The Crypto Merchant","Make sure to check out all the recaps from the first ever Metaverse Fashion Week... fascinating! Some of the major brands that attended were Tommy Hilfiger, Dolce & Gabbana, Forever 21, DKNY, and Estee Lauder. https://t.co/fegrt2eKGi","0","0","0","1649354419000","07 Apr 2022","cryptomerch/status/1512128149286539265","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@roohi99559344","0xroohi.blockchain(💙,🧡)(L3, ❄️)🛸🏰🌘Xmas","#DAZZLE #MVFW https://t.co/PpqVHvP5RM","0","0","0","1649244284000","06 Apr 2022","roohi99559344/status/1511666211511316482","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","DAZZLE | MVFW"
"@yz_xia","(💙,🧡)justawhile.eth🏰(L3, ❄️)🌘.bit","https://t.co/lBDHprJuUk #MVFW #DAZZLE","0","0","0","1649239942000","06 Apr 2022","yz_xia/status/1511647999906050054","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | DAZZLE"
"@flardoNFT","NFT_news🇨🇭🇮🇹🇺🇸","Nifty News: Luxusmarken nehmen an der Metaverse Fashion Week von Decentraland teil https://t.co/WWE5OhgZXJ #cryptonews #crypto #nft #crypto","0","0","2","1648528035000","29 Mar 2022","flardoNFT/status/1508662045469720579","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","cryptonews | crypto | nft | crypto"
"@GetawaySorrento","XRP🇭🇲DownUnder🇭🇲","⬆ +1 The first-ever Metaverse Fashion Week: Digital fashion is here to stay https://t.co/9ukKTDoKbL #Web3 #btc #bitcoin #crypto #CryptoNews","1","1","1","1649559413000","10 Apr 2022","GetawaySorrento/status/1512987956004356100","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","Web3 | btc | bitcoin | crypto | CryptoNews"
"@ZHUANG66208479","meta2030.eth ☄️🏰 (L,3)(💙,🧡) (🌸, 🌿).lens🔱🌎🌘","#dzzit #MVFW","0","0","0","1649241703000","06 Apr 2022","ZHUANG66208479/status/1511655384087351297","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","dzzit | MVFW"
"@feiniao1946","飞鹰猎手(💙,🧡)520eth.lens，(📦,💫)🌘","#DAZZLE #MVFW https://t.co/cBYWgT4PHe","0","0","0","1649250923000","06 Apr 2022","feiniao1946/status/1511694055490875400","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","DAZZLE | MVFW"
