"","created_at","date","name","username","link","tweet","replies_count","retweets_count","likes_count","photos"
"96",2022-03-26 17:34:56,2022-03-26,"Astrid, NFTCreatorTours","nftcreatortours","https://twitter.com/NFTCreatortours/status/1507758008075530245","There are 3 NFT projects near and dear to my heart in @MetaFashionH  Two of them are in this photo! The 3rd is somewhere on one of our floors😍 Can anyone guess?  First right answer for each gets a wearable from one of our boutiques! #MVFW  https://t.co/J6yFw7tpp8  https://t.co/Ffww9v8nLR",6,0,15,"['https://pbs.twimg.com/media/FOye6RhWUAg8kzl.jpg']"
"97",2022-02-26 08:34:20,2022-02-26,"CoinsCapture","coinscapture","https://twitter.com/CoinsCapture/status/1497475100257312770","News :Decentraland to Host 4-Day Metaverse Fashion Week.  The Blockchain-based virtual world Decentraland will be launching a 4-Day Metaverse Fashion Week at the...  Read more :  https://t.co/HV2wmv0jGV #Decentraland #Metaverse #Blockchain #MANA  #VirtualWorlds  https://t.co/j5iYCJFtEP",0,0,4,"['https://pbs.twimg.com/media/FMgZfFsUUAUwK5B.jpg']"
"98",2022-03-22 14:48:33,2022-03-22,"Crypto Content","cryptocontent2","https://twitter.com/CryptoContent2/status/1506266583278227457","Tommy Hilfiger to Showcase Spring 2022 Collections and NFT Wearables at Decentraland’s Metaverse Fashion Week  https://t.co/eb5UO7BRzj",0,0,0,"[]"
"99",2022-03-27 18:30:50,2022-03-27,"Renovi","renovinft","https://twitter.com/RenoviNFT/status/1508119364431663112","Are you enjoying Decentraland Fashion Week? Come and take a look at what we’ve created for Phygicod &amp; WyldFlwr #Decentraland #Metaverse #Nft  https://t.co/qAIwvayKPt",0,3,17,"['https://pbs.twimg.com/media/FO3qhggWQAkKswL.jpg']"
"100",2022-02-28 20:23:06,2022-02-28,"XPOZD","xpozd_io","https://twitter.com/xpozd_io/status/1498378242612334593","@Wire_lyss @C_01_Project Looks amazing! We’re excited to be in #mvfw as well.",0,0,0,"[]"
"101",2022-03-26 18:40:05,2022-03-26,"NFT Clothing Club","nftclothingclub","https://twitter.com/NFTClothingClub/status/1507774402477400066","Here's How Nicholas Kirkwood Remade One of His Classic Shoes for Metaverse Fashion Week    https://t.co/KImK2k7gVz  #Metaverse #NFTs #Fashion #FashionWeek",0,1,2,"[]"
"102",2022-03-22 16:03:54,2022-03-22,"8SIAN","8siannft","https://twitter.com/8sianNFT/status/1506285548025303044","ℹ️ It is FREE to open a @decentraland account &amp; receive a default avatar! ℹ️ Once created you will be able to receive all 8SIAN &amp; Collab Partners' digital wearable airdrops you are eligible for. Get ready for MVFW 24 Mar 2022!  More info:  https://t.co/LAsnT6buFi #metaverse #nft  https://t.co/1pArwImCji",7,19,70,"[]"
"103",2022-03-26 20:30:26,2022-03-26,"Quiksilver","0xquiksilver","https://twitter.com/0xQuiksilver/status/1507802173404594177","Dancing with @steveaoki in the #MVFW  @decentraland @DCL_Events @exclusible @HoganBrand  https://t.co/PWAxeZnJ7E",0,0,2,"['https://pbs.twimg.com/media/FOzJz69XwAYNsra.png']"
"104",2022-04-13 10:02:41,2022-04-13,"Bitpanda","bitpanda","https://twitter.com/bitpanda/status/1514152078414958592","This week, we are doing an easter egg hunt to give away $BEST and $PAN merch! Also, the metaverse has been busy having a fashion week. Check out the new #BitpandaRecap with our very own @davidrjackson11 to find out even more!  What did we miss? 👇   https://t.co/malVNSYtSl",51,21,117,"[]"
"105",2022-04-12 15:00:01,2022-04-12,"ALTAVA","altavagroup","https://twitter.com/altavagroup/status/1513864515015757828","🏆 Winners for the Week 1 slogan event by Fashionistas🏆  1st: ALTAVA, alternative way to be yourself by   @SmGkbyrk 2nd: ALTAVA - An Era of Fashion in Metaverse by  @Abhinav45072284 3rd: Second Skin, Second Life by JOESIN | ALTAVA  Congratulations! Winners please find our DMs!",11,13,69,"[]"
