"","participant_code","item_tweet","rating","item","tweet","source"
"185","6vr1fp3w","affective2",5,"affective","2","brands"
"186","9i4oj2r2","affective2",NA,"affective","2","brands"
"187","1bkh0km2","affective2",4,"affective","2","brands"
"188","h663junz","affective2",3,"affective","2","brands"
"189","gem9aoqj","affective2",NA,"affective","2","brands"
"190","1zvtzuqk","affective2",4,"affective","2","brands"
"191","evx0zc3a","affective2",NA,"affective","2","brands"
"192","me2ii5mz","affective2",4,"affective","2","brands"
"193","qva57gbb","affective2",NA,"affective","2","brands"
"194","toaoocz2","affective2",2,"affective","2","brands"
"195","nv1uy98b","affective2",1,"affective","2","brands"
"196","9h4ceqz2","affective2",NA,"affective","2","brands"
"197","n0wp5zd8","affective2",2,"affective","2","brands"
"198","x8ux5i6y","affective2",NA,"affective","2","brands"
"199","qoyax9r0","affective2",5,"affective","2","brands"
"200","xm509tw1","affective2",NA,"affective","2","brands"
"201","gqmkeow0","affective2",3,"affective","2","brands"
"202","6muoe37h","affective2",NA,"affective","2","brands"
"203","t2edihr0","affective2",1,"affective","2","brands"
"204","yz2beulm","affective2",NA,"affective","2","brands"
"205","fvemlgiw","affective2",2,"affective","2","brands"
"206","nl6xjpo7","affective2",NA,"affective","2","brands"
"207","fcsbtn6k","affective2",3,"affective","2","brands"
"208","curnl29o","affective2",5,"affective","2","brands"
"209","1tozm66a","affective2",NA,"affective","2","brands"
"210","iv519w8r","affective2",1,"affective","2","brands"
"211","acsdwiqr","affective2",NA,"affective","2","brands"
"212","4js2miwp","affective2",5,"affective","2","brands"
"213","jpfuvqgw","affective2",NA,"affective","2","brands"
"214","g1uvm9wv","affective2",2,"affective","2","brands"
"215","712u1e71","affective2",NA,"affective","2","brands"
"216","57q12bc7","affective2",3,"affective","2","brands"
"217","q5gaxvft","affective2",NA,"affective","2","brands"
"218","lcl3ehap","affective2",4,"affective","2","brands"
"219","l0vd19fj","affective2",NA,"affective","2","brands"
"220","pwkrzn40","affective2",2,"affective","2","brands"
"221","govzzomw","affective2",NA,"affective","2","brands"
"222","agykousy","affective2",6,"affective","2","brands"
"223","ngsqw49j","affective2",NA,"affective","2","brands"
"224","f8umy53m","affective2",5,"affective","2","brands"
"225","uzza49m6","affective2",NA,"affective","2","brands"
"226","8vcghghp","affective2",2,"affective","2","brands"
"227","f6y08krf","affective2",NA,"affective","2","brands"
"228","by4yanjb","affective2",6,"affective","2","brands"
"229","5vxkjued","affective2",NA,"affective","2","brands"
"230","pt1k2gya","affective2",1,"affective","2","brands"
"231","ba1ix5rs","affective2",5,"affective","2","brands"
"232","vgqiwli0","affective2",NA,"affective","2","brands"
"233","8ycp4uiv","affective2",3,"affective","2","brands"
"234","yoksfz80","affective2",NA,"affective","2","brands"
"235","mygg7jsf","affective2",2,"affective","2","brands"
"236","6135dpe8","affective2",NA,"affective","2","brands"
"237","c36345sy","affective2",1,"affective","2","brands"
"238","8u8yvyyo","affective2",NA,"affective","2","brands"
"239","e8rdjk5m","affective2",NA,"affective","2","brands"
"240","0srondmg","affective2",2,"affective","2","brands"
"241","og34gxwy","affective2",NA,"affective","2","brands"
"242","xp91wpet","affective2",2,"affective","2","brands"
"243","5rg41nue","affective2",NA,"affective","2","brands"
"244","jnkijng0","affective2",4,"affective","2","brands"
"245","he5c8uyo","affective2",NA,"affective","2","brands"
"246","rlo2oc87","affective2",1,"affective","2","brands"
"247","jcsufc2z","affective2",1,"affective","2","brands"
"248","mj3b11nc","affective2",NA,"affective","2","brands"
"249","cxt8ofo7","affective2",1,"affective","2","brands"
"250","0au9q0bv","affective2",NA,"affective","2","brands"
"251","bca7n5xk","affective2",3,"affective","2","brands"
"252","wjuluvfd","affective2",NA,"affective","2","brands"
"253","jg9stgrs","affective2",2,"affective","2","brands"
"254","xge3gw5y","affective2",NA,"affective","2","brands"
"255","ucwf1wvy","affective2",4,"affective","2","brands"
"256","5iozpviz","affective2",NA,"affective","2","brands"
"257","l0mtaawo","affective2",1,"affective","2","brands"
"258","0oewz2ea","affective2",NA,"affective","2","brands"
"259","kelsiw74","affective2",3,"affective","2","brands"
"260","2jb5hi60","affective2",NA,"affective","2","brands"
"261","gdu9lj7r","affective2",1,"affective","2","brands"
"262","uegydg7g","affective2",NA,"affective","2","brands"
"263","y3cyrwe1","affective2",2,"affective","2","brands"
"264","e8zwvzcw","affective2",NA,"affective","2","brands"
"265","a9lw8t9i","affective2",1,"affective","2","brands"
"266","nt90o9ux","affective2",NA,"affective","2","brands"
"267","pllysyhy","affective2",1,"affective","2","brands"
"268","4w4whaox","affective2",NA,"affective","2","brands"
"269","6ca3hvyu","affective2",2,"affective","2","brands"
"270","0w4ojw4o","affective2",NA,"affective","2","brands"
"271","9t5zoj2q","affective2",5,"affective","2","brands"
"272","yfaeo1to","affective2",NA,"affective","2","brands"
"273","p8e7vat8","affective2",5,"affective","2","brands"
"274","m6l8ynog","affective2",NA,"affective","2","brands"
"275","sp3z7jov","affective2",6,"affective","2","brands"
"276","2qm0d32j","affective2",NA,"affective","2","brands"
"277","p6kabpcv","affective2",4,"affective","2","brands"
"278","q8nk50gy","affective2",NA,"affective","2","brands"
"279","696w6ha8","affective2",2,"affective","2","brands"
"280","w4bv9bmk","affective2",NA,"affective","2","brands"
"281","wtbrvnca","affective2",3,"affective","2","brands"
"282","acje7hag","affective2",NA,"affective","2","brands"
